file_name,initial_shape,initial_dtype,initial_voxel_size,initial_total_voxels,initial_file_size_MB,final_shape,final_dtype,final_voxel_size,final_total_voxels,final_file_size_MB
D:/strokeDataset\sub-1245\dwi\sub-1245_rec-ADC_dwi.nii.gz,"(256, 256, 26, 1)",float64,"(np.float32(0.8984375), np.float32(0.89843756), np.float32(5.99999), np.float32(0.0))",1703936,0.8954372406005859,"(256, 256, 26)",float64,"(np.float32(0.8984375), np.float32(0.89843756), np.float32(5.99999))",1703936,0.8954353332519531
D:/strokeDataset\sub-1245\dwi\sub-1245_rec-TRACE_dwi.nii.gz,"(256, 256, 26, 1)",float64,"(np.float32(0.8984375), np.float32(0.89843756), np.float32(5.99999), np.float32(0.0))",1703936,0.5968399047851562,"(256, 256, 26)",float64,"(np.float32(0.8984375), np.float32(0.89843756), np.float32(5.99999))",1703936,0.6192169189453125
D:/strokeDataset\sub-1246\anat\sub-1246_FLAIR.nii.gz,"(336, 221, 336)",float64,"(np.float32(0.6026766), np.float32(0.999999), np.float32(0.60267663))",24950016,6.486780166625977,"(336, 221, 336)",float64,"(np.float32(0.6026766), np.float32(0.999999), np.float32(0.60267663))",24950016,6.486780166625977
D:/strokeDataset\sub-1246\anat\sub-1246_T1w.nii.gz,"(180, 231, 225)",float64,"(np.float32(0.99999005), np.float32(0.92361116), np.float32(0.9236111))",9355500,3.8529434204101562,"(180, 231, 225)",float64,"(np.float32(0.99999005), np.float32(0.92361116), np.float32(0.9236111))",9355500,3.8529434204101562
D:/strokeDataset\sub-1246\dwi\sub-1246_rec-ADC_dwi.nii.gz,"(256, 256, 26, 1)",float64,"(np.float32(0.8984375), np.float32(0.8984375), np.float32(5.9999986), np.float32(0.0))",1703936,0.8434724807739258,"(256, 256, 26)",float64,"(np.float32(0.8984375), np.float32(0.8984375), np.float32(5.9999986))",1703936,0.8434715270996094
D:/strokeDataset\sub-1246\dwi\sub-1246_rec-TRACE_dwi.nii.gz,"(256, 256, 26, 1)",float64,"(np.float32(0.8984375), np.float32(0.8984375), np.float32(5.9999986), np.float32(0.0))",1703936,0.5718212127685547,"(256, 256, 26)",float64,"(np.float32(0.8984375), np.float32(0.8984375), np.float32(5.9999986))",1703936,0.6320524215698242
D:/strokeDataset\sub-1247\anat\sub-1247_FLAIR.nii.gz,"(200, 512, 512)",float64,"(np.float32(0.90000534), np.float32(0.48924732), np.float32(0.4892473))",52428800,16.204055786132812,"(200, 512, 512)",float64,"(np.float32(0.90000534), np.float32(0.48924732), np.float32(0.4892473))",52428800,16.204055786132812
D:/strokeDataset\sub-1247\anat\sub-1247_T1w.nii.gz,"(370, 528, 528)",float64,"(np.float32(0.50000125), np.float32(0.47489437), np.float32(0.47489432))",103150080,33.235228538513184,"(370, 528, 528)",float64,"(np.float32(0.50000125), np.float32(0.47489437), np.float32(0.47489432))",103150080,33.235228538513184
D:/strokeDataset\sub-1247\dwi\sub-1247_rec-ADC_dwi.nii.gz,"(224, 224, 24, 1)",float64,"(np.float32(1.0223991), np.float32(1.0223991), np.float32(5.999996), np.float32(0.0))",1204224,0.49289608001708984,"(224, 224, 24)",float64,"(np.float32(1.0223991), np.float32(1.0223991), np.float32(5.999996))",1204224,0.49289417266845703
D:/strokeDataset\sub-1247\dwi\sub-1247_rec-TRACE_dwi.nii.gz,"(224, 224, 24, 1)",float64,"(np.float32(1.0223991), np.float32(1.0223991), np.float32(5.999996), np.float32(0.0))",1204224,0.5527429580688477,"(224, 224, 24)",float64,"(np.float32(1.0223991), np.float32(1.0223991), np.float32(5.999996))",1204224,0.648585319519043
